name,name_normalized,score_dry,score_oily,score_combination,score_normal,score_sensitive,score_mature,score_pregnancy_safe,good_tags,avoid_tags,source,product_frequency,category,category_tr,description_tr,dry_effect,dry_reason_tr,oily_effect,oily_reason_tr,combination_effect,combination_reason_tr,normal_effect,normal_reason_tr,sensitive_effect,sensitive_reason_tr,mature_effect,mature_reason_tr,pregnancy_safe_effect,pregnancy_safe_reason_tr,score_acne_prone,acne_prone_effect,acne_prone_reason_tr
Anthocyanins,anthocyanins,2.0,2.0,2.0,2.0,2.0,3.0,3.0,Radiance,,manual_v2,0,Antioksidan (Antosiyanin),Antioksidan (Antosiyanin),"Antosiyaninler, meyve ve sebzelerde bulunan suda çözünür pigmentlerdir. Güçlü antioksidan özellikleri sayesinde cildi UV hasarı ve çevresel stres faktörlerine karşı korur. Kollajen sentezini destekleyerek yaşlanma karşıtı etki gösterir.",beneficial,"Kuru ciltlerde antioksidan koruma sağlar, oksidatif stresi azaltarak bariyer hasarını önler. Nemlendirici etkisi yoktur ancak diğer nemlendiricilerle sinerji oluşturur. 💡 Antioksidan serum olarak kullanın, nemlendirici altına uygulayın.",beneficial,Yağlı ciltlerde sebum oksidasyonunu azaltarak komedon oluşumunu engelleyebilir. Anti-inflamatuar etkisi akne lezyonlarını hafifletir. Hafif yapısı yağlı ciltler için uygundur. 💡 Sabah rutininde C vitamini ile birlikte kullanın. SPF ile koruyun.,beneficial,"Karma ciltlerde antioksidan koruma sağlar, cilt tonunu eşitler. Yağlı ve kuru bölgelerde dengeli bir etki gösterir. 💡 Tüm yüze uygulayın, özellikle güneşe maruz kalan bölgelere.",beneficial,"Normal ciltlerde yaşlanma karşıtı koruma sağlar, cilt parlaklığını artırır. Antioksidan etkisiyle cilt sağlığını destekler. 💡 Günlük antioksidan serum olarak kullanın.",beneficial,Hassas ciltlerde anti-inflamatuar etkisiyle kızarıklık ve tahrişi azaltır. Antioksidan koruma sayesinde çevresel tetikleyicilere karşı bariyeri güçlendirir. Genellikle iyi tolere edilir. 💡 Hassas ciltler için güvenlidir. Yatıştırıcı bileşenlerle kombine edin.,beneficial,"Olgun ciltlerde güçlü antioksidan etkisiyle kollajen yıkımını önler, ince çizgileri azaltır. Hiperpigmentasyonu hafifletmeye yardımcı olabilir. Yaşlanma karşıtı rutinlerde önemli bir bileşendir. 💡 Anti-aging serumlarınızda kullanın. Retinol ve C vitamini ile sinerjik etki gösterir.",beneficial,"Antosiyaninler doğal bileşiklerdir, topikal kullanımda sistemik emilimleri düşüktür. Hamilelikte güvenle kullanılabilir, teratojenik risk taşımaz. 💡 Hamilelikte güvenle kullanın, herhangi bir kısıtlama yoktur.",2.0,beneficial,"Akne ciltlerinde inflamasyonu azaltır, oksidatif stresi düşürür. Komedojenik değildir, akne izlerinin görünümünü hafifletebilir. 💡 Akne tedavisine destek olarak kullanın. Salisilik asit ile kombine edilebilir."
Aphloia Theiformis Leaf Extract,aphloiatheiformisleafextract,1.0,2.0,2.0,1.0,2.0,3.0,2.0,Radiance|Impaired skin barrier,,manual_v2,0,Bitkisel Ekstrakt (Fandamane),Bitkisel Ekstrakt (Fandamane),"Aphloia Theiformis (Fandamane) yaprak ekstraktı, Madagaskar'a özgü bir bitkiden elde edilir. Antioksidan, anti-inflamatuar ve cilt aydınlatıcı özellikleriyle bilinir. Hiperpigmentasyon ve yaşlanma karşıtı ürünlerde kullanılır.",beneficial,"Kuru ciltlerde antioksidan koruma sağlar, ancak nemlendirici etkisi sınırlıdır. Bariyer desteği için diğer nemlendiricilerle kombine edilmelidir. 💡 Nemlendirici altına serum olarak uygulayın.",beneficial,"Yağlı ciltlerde sebum oksidasyonunu azaltır, anti-inflamatuar etkisiyle akne oluşumunu engelleyebilir. Hafif yapısı yağlı ciltler için uygundur. 💡 Yağlı ciltler için hafif serumlarda kullanın.",beneficial,"Karma ciltlerde cilt tonunu eşitler, antioksidan koruma sağlar. Hem yağlı hem kuru bölgelerde dengeli etki gösterir. 💡 Tüm yüze uygulayın, özellikle leke olan bölgelere.",beneficial,Normal ciltlerde genel antioksidan ve aydınlatıcı etki sağlar. Cilt sağlığını destekler. 💡 Günlük bakımda kullanılabilir.,beneficial,"Hassas ciltlerde anti-inflamatuar etkisiyle kızarıklık ve tahrişi azaltır. Genellikle iyi tolere edilir, ancak yama testi önerilir. 💡 Hassas ciltlerde yama testi yaparak kullanın. Yatıştırıcı bileşenlerle kombine edin.",beneficial,"Olgun ciltlerde güçlü antioksidan etkisiyle yaşlanma belirtilerini azaltır. Hiperpigmentasyonu hafifletir, cilt tonunu eşitler. Kollajen sentezini destekleyebilir. 💡 Anti-aging serumlarınızda kullanın. C vitamini ve retinol ile kombine edilebilir.",beneficial,"Aphloia Theiformis ekstraktı hamilelikte güvenli kabul edilir. Topikal kullanımda sistemik emilimi düşüktür, teratojenik risk taşımaz. 💡 Hamilelikte güvenle kullanın, ancak yüksek konsantrasyonlardan kaçının.",2.0,beneficial,"Akne ciltlerinde inflamasyonu azaltır, antioksidan etkisiyle akne izlerinin oluşumunu engelleyebilir. Komedojenik değildir. 💡 Akne tedavisine destek olarak kullanın. Salisilik asit ile kombine edilebilir."
Aqua/Water/Eau,aquawatereau,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,manual_v2,31,Çözücü,Çözücü,"Aqua, kozmetik formülasyonların temel çözücüsüdür ve ürünün kıvamını, dağılımını sağlar. Kendi başına cilt üzerinde aktif bir etkisi yoktur, ancak diğer bileşenlerin taşınmasına yardımcı olur.",neutral,"Su, kuru ciltte nemlendirici etki göstermez; aksine buharlaşırken cildi kurutabilir. Ancak formülasyonda nemlendiricilerle birlikte kullanıldığında nötrdür. 💡 Kuru ciltler için su bazlı ürünlerde hyaluronik asit gibi nem çekici bileşenlerin bulunmasına dikkat edin.",neutral,"Su, yağlı ciltte herhangi bir olumlu veya olumsuz etki yapmaz. Sebum üretimini etkilemez, gözenekleri tıkamaz. 💡 Yağlı ciltler için su bazlı, hafif jeller tercih edilebilir.",neutral,Karma ciltte su nötrdür; bölgesel farklılıkları etkilemez. 💡 Karma ciltler için su bazlı ürünler genellikle uygundur.,neutral,Normal ciltte suyun belirgin bir etkisi yoktur; sadece taşıyıcı görevi görür. 💡 Normal ciltler için su bazlı ürünler rahatlıkla kullanılabilir.,neutral,"Saf su hassas ciltte genellikle tahrişe neden olmaz, ancak çok kuru veya egzamalı ciltlerde bariyeri daha da zayıflatabilir. Yine de nötr kabul edilir. 💡 Hassas ciltlerde su bazlı ürünlerin içinde yatıştırıcı bileşenler (örneğin aloe vera) bulunmasına özen gösterin.",neutral,"Su, olgun ciltte kırışıklık veya elastikiyet üzerinde doğrudan etkili değildir. Nemlendiricilerle birlikte kullanıldığında faydalı olabilir. 💡 Olgun ciltlerde su bazlı ürünlerin antioksidan ve peptitlerle zenginleştirilmiş olmasına dikkat edin.",beneficial,"Su, hamilelikte kesinlikle güvenlidir; herhangi bir teratojenik risk taşımaz. Cilt bakımında temel bileşendir. 💡 Hamilelikte su bazlı ürünler güvenle kullanılabilir.",0.0,neutral,"Su, akneye meyilli ciltte komedojenik değildir ve gözenekleri tıkamaz. Ancak tek başına akne tedavisine katkısı yoktur. 💡 Akneye meyilli ciltlerde su bazlı, hafif formüller tercih edilmelidir."
Arachidic Acid,arachidicacid,2.0,-1.0,0.0,0.0,-1.0,2.0,2.0,,,top1000,46,Cilt Bakım Bileşeni,Cilt Bakım Bileşeni,"Arachidic Acid, doymuş bir yağ asididir ve cilt bakım ürünlerinde yumuşatıcı ve emülgatör olarak kullanılır. Cilt bariyerini destekleyebilir, ancak yüksek konsantrasyonlarda komedojenik olabilir.",beneficial,"Arachidic acid, kuru ciltte bariyer onarımına katkıda bulunur ve nem kaybını azaltır. Ancak çok yüksek konsantrasyonlarda yapışkan bir his bırakabilir. 💡 Kuru ciltler için düşük-orta konsantrasyonlarda içeren nemlendiriciler tercih edin.",caution,"Yağlı ciltte arachidic acid, gözenekleri tıkama potansiyeli nedeniyle komedojenik olabilir. Sebum üretimini artırmaz ancak mevcut yağlılığı kötüleştirebilir. 💡 Yağlı ciltlerde bu bileşeni içeren ürünlerden kaçının veya çok düşük konsantrasyonlarda kullanın.",neutral,"Karma ciltte arachidic acid, T-bölgede gözenek tıkayıcı olabilirken yanaklarda faydalı olabilir. Genel etki nötrdür. 💡 Karma ciltlerde bu bileşeni sadece kuru bölgelere uygulayın, T-bölgeden kaçının.",neutral,"Normal ciltte arachidic acid genellikle tolere edilir, ancak belirgin bir fayda sağlamaz. Düşük konsantrasyonlarda nötrdür. 💡 Normal ciltlerde ara sıra kullanılabilir, ancak gerekli değildir.",caution,"Hassas ciltte arachidic acid, özellikle egzama ve rozaseada tahrişe neden olabilir. Doymuş yağ asitleri bariyeri güçlendirse de, bazı hassas bireylerde reaksiyon görülebilir. 💡 Hassas ciltlerde yama testi yapmadan kullanmayın; düşük konsantrasyonlu ürünler tercih edin.",beneficial,"Olgun ciltte arachidic acid, bariyer onarımına yardımcı olur ve ince çizgilerin görünümünü azaltabilir. Yağ asitleri cildin lipid tabakasını destekler. 💡 Olgun ciltler için gece kremlerinde kullanılabilir; retinol gibi aktiflerle kombine edilebilir.",beneficial,"Arachidic acid, hamilelikte güvenli kabul edilir; teratojenik değildir. Cilt bariyerini destekleyerek hamilelikte oluşabilecek kuruluğa karşı faydalıdır. 💡 Hamilelikte güvenle kullanılabilir; ancak akneye yatkınlık varsa dikkatli olun.",-2.0,caution,"Arachidic acid, komedojenik potansiyele sahiptir ve akneye meyilli ciltte siyah nokta ve beyaz nokta oluşumunu tetikleyebilir. Gözenek tıkama riski yüksektir. 💡 Akneye meyilli ciltlerde bu bileşenden kesinlikle kaçının; non-komedojenik alternatifler tercih edin."
Arachidyl Alcohol,arachidylalcohol,2.0,-1.0,0.0,0.0,-1.0,2.0,2.0,,,top1000,62,Cilt Bakım Bileşeni,Cilt Bakım Bileşeni,"Arachidyl Alcohol, doymuş bir yağ alkolüdür ve kozmetikte yumuşatıcı, emülgatör ve kıvam artırıcı olarak kullanılır. Ciltte yumuşatıcı etki gösterir ve bariyeri destekler.",beneficial,"Arachidyl alcohol, kuru ciltte nemi hapseder ve bariyer onarımına katkıda bulunur. Yumuşatıcı özelliği sayesinde pullanmayı azaltır. 💡 Kuru ciltler için zengin nemlendiricilerde tercih edin; hyaluronik asit ile kombine edilebilir.",caution,"Yağlı ciltte arachidyl alcohol, gözenekleri tıkama potansiyeli nedeniyle komedojenik olabilir. Ancak yağ alkolleri genellikle yağ asitlerinden daha az komedojeniktir. 💡 Yağlı ciltlerde düşük konsantrasyonlu ürünler tercih edin; aşırı kullanımdan kaçının.",neutral,"Karma ciltte arachidyl alcohol, kuru bölgelerde faydalı olabilirken yağlı bölgelerde gözenek tıkayabilir. Genel etki nötrdür. 💡 Karma ciltlerde sadece kuru bölgelere uygulayın.",neutral,"Normal ciltte arachidyl alcohol genellikle tolere edilir, belirgin bir fayda veya zarar sağlamaz. 💡 Normal ciltlerde ara sıra kullanılabilir.",caution,"Hassas ciltte arachidyl alcohol, özellikle egzama ve rozaseada tahrişe neden olabilir. Yağ alkolleri bazı hassas bireylerde reaksiyon oluşturabilir. 💡 Hassas ciltlerde yama testi yapın; düşük konsantrasyonlu ürünler tercih edin.",beneficial,"Olgun ciltte arachidyl alcohol, bariyer onarımına yardımcı olur ve cildi yumuşatır. Kırışıklık görünümünü azaltmada destekleyicidir. 💡 Olgun ciltler için gece kremlerinde kullanılabilir; peptitlerle kombine edilebilir.",beneficial,"Arachidyl alcohol, hamilelikte güvenlidir; teratojenik risk taşımaz. Cilt kuruluğuna karşı faydalıdır. 💡 Hamilelikte güvenle kullanılabilir.",-1.0,caution,"Arachidyl alcohol, akneye meyilli ciltte düşük-orta komedojenik potansiyele sahiptir. Gözenek tıkama riski vardır, ancak yağ asitlerine göre daha güvenlidir. 💡 Akneye meyilli ciltlerde non-komedojenik ürünler tercih edin; bu bileşeni içeren ürünleri sınırlı kullanın."
Arachidyl Glucoside,arachidylglucoside,2.0,2.0,2.0,2.0,3.0,2.0,3.0,Anyone,,top1000,50,Yüzey Aktif Madde (Nazik),Yüzey Aktif Madde (Nazik),"Arachidyl Glucoside, glikozit bazlı non-iyonik bir yüzey aktif maddedir. Nazik temizlik sağlar, cilt tahrişini minimize eder ve köpük oluşturur. Genellikle hassas ciltler için uygundur.",beneficial,"Arachidyl glucoside, kuru ciltte nazik temizlik sağlar ve bariyeri korur. Sülfat içermeyen yapısı sayesinde cildi kurutmaz. 💡 Kuru ciltler için temizleyicilerde tercih edin; nemlendirici içeriklerle kombine edin.",beneficial,"Yağlı ciltte arachidyl glucoside, fazla sebumu temizlerken cildi tahriş etmez. Nazik yapısı sayesinde sık kullanıma uygundur. 💡 Yağlı ciltler için günlük temizleyici olarak kullanılabilir.",beneficial,"Karma ciltte arachidyl glucoside, hem yağlı hem kuru bölgeleri dengeler; nazik temizlik sağlar. 💡 Karma ciltler için ideal bir temizleyici bileşendir.",beneficial,"Normal ciltte arachidyl glucoside, nazik temizlik sağlar ve cilt dengesini korur. 💡 Normal ciltler için günlük temizleyici olarak uygundur.",beneficial,"Arachidyl glucoside, hassas ciltler için en güvenli yüzey aktif maddelerden biridir. Rozasea, egzama ve atopik dermatitte tahrişe neden olmaz; cilt bariyerini korur. 💡 Hassas ciltler için temizleyici seçiminde öncelikli olarak tercih edin.",beneficial,"Olgun ciltte arachidyl glucoside, nazik temizlik sağlar ve bariyeri korur. Kırışıklık karşıtı ürünlerle birlikte kullanılabilir. 💡 Olgun ciltler için temizleyici olarak tercih edin.",beneficial,"Arachidyl glucoside, hamilelikte kesinlikle güvenlidir; teratojenik risk taşımaz. Nazik yapısıyla hamilelikte oluşabilecek cilt hassasiyetine uygundur. 💡 Hamilelikte güvenle kullanılabilir.",2.0,beneficial,"Akneye meyilli ciltte arachidyl glucoside, gözenekleri tıkamaz ve nazik temizlik sağlar. Komedojenik değildir. 💡 Akneye meyilli ciltler için günlük temizleyici olarak uygundur."
Argan Oil,arganoil,3.0,-1.0,0.0,1.0,2.0,3.0,3.0,Dry and dehydrated skin|Fine Lines|Radiance,,manual_v2,0,Bitkisel Yağ (Argan),Bitkisel Yağ (Argan),"Argan Oil, zengin yağ asitleri (oleik, linoleik), E vitamini ve antioksidanlar içeren bir bitkisel yağdır. Nemlendirici, yumuşatıcı ve bariyer onarıcı özelliklere sahiptir.",beneficial,"Argan oil, kuru ciltte derinlemesine nemlendirme sağlar ve bariyer onarımını destekler. Oleik asit içeriği sayesinde cilde yumuşaklık kazandırır. 💡 Kuru ciltler için gece bakımında veya nemlendirici olarak kullanın.",caution,"Argan oil, yağlı ciltte komedojenik olabilir ve gözenekleri tıkayabilir. Linoleik asit içeriği düşük olduğu için akneye yatkın ciltlerde sorun yaratabilir. 💡 Yağlı ciltlerde kullanmaktan kaçının veya çok az miktarda, haftada bir kez uygulayın.",neutral,"Karma ciltte argan oil, kuru bölgelerde faydalı olabilirken yağlı bölgelerde gözenek tıkayabilir. Genel etki nötrdür. 💡 Karma ciltlerde sadece kuru bölgelere uygulayın.",beneficial,"Normal ciltte argan oil, hafif nemlendirme sağlar ve antioksidan etki gösterir. Ancak aşırı kullanımda yağlı his bırakabilir. 💡 Normal ciltlerde haftada 2-3 kez kullanılabilir.",beneficial,"Argan oil, hassas ciltte yatıştırıcı ve anti-inflamatuar etki gösterir. Rozasea ve egzamada kızarıklığı azaltabilir. Ancak bazı bireylerde alerjik reaksiyon görülebilir. 💡 Hassas ciltlerde yama testi yaparak kullanın; saf argan yağı tercih edin.",beneficial,"Olgun ciltte argan oil, antioksidanlar sayesinde serbest radikal hasarını azaltır ve ince çizgileri yumuşatır. E vitamini cilt yenilenmesini destekler. 💡 Olgun ciltler için gece bakımında düzenli kullanın; retinol ile kombine edilebilir.",beneficial,"Argan oil, hamilelikte güvenlidir; teratojenik risk taşımaz. Cilt çatlaklarını önlemeye yardımcı olabilir. 💡 Hamilelikte güvenle kullanılabilir; çatlak önleyici olarak karın bölgesine uygulayın.",-2.0,caution,"Argan oil, akneye meyilli ciltte komedojenik potansiyele sahiptir. Oleik asit içeriği yüksek olduğu için gözenek tıkama riski vardır ve akneyi kötüleştirebilir. 💡 Akneye meyilli ciltlerde kullanmayın; non-komedojenik yağlar (örneğin jojoba yağı) tercih edin."
Argania Spinosa (Argan) Kernel Oil,arganiaspinosaargankerneloil,3.0,0.0,1.0,2.0,2.0,3.0,3.0,Dry and dehydrated skin,Oily,top1000,39,Bitkisel Yağ,Bitkisel Yağ,"Argan yağı, yüksek oranda oleik ve linoleik asit ile E vitamini (tokoferol) içeren, besleyici ve nemlendirici bir bitkisel yağdır. Cilt bariyerini güçlendirir, antioksidan özellik gösterir ve yatıştırıcı etkisi vardır.",beneficial,"Argan yağı, yüksek oleik asit içeriği sayesinde kuru ciltte lipid bariyeri onarır ve transepidermal su kaybını azaltır. E vitamini ile antioksidan koruma sağlar, pullanma ve sıkılık hissini giderir. 💡 Günde 1-2 kez temiz cilde birkaç damla uygulayın. Özellikle gece rutininde nemlendirici öncesi kullanın.",neutral,"Argan yağı hafif yapılı olmasına rağmen oleik asit içeriği yağlı ciltte gözenek tıkama potansiyeli taşır. Düşük komedojenik indeksi vardır ancak aşırı yağlı ciltlerde dikkatli kullanılmalıdır. 💡 Haftada 2-3 kez, birkaç damla ile sınırlı kullanın. Yağlı bölgelere doğrudan uygulamaktan kaçının.",beneficial,"Karma ciltte kuru bölgelere nem sağlarken, yağlı T-bölgesinde hafif kalabilir. Dengeli yağ asidi profili sayesinde cildi besler ancak aşırı kullanımda T-bölgesinde komedon oluşumuna yol açabilir. 💡 Sadece kuru bölgelere (yanaklar) uygulayın, T-bölgesinden kaçının. Gece kullanımı idealdir.",beneficial,"Normal ciltte argan yağı, cilt bariyerini destekler ve antioksidan koruma sağlar. Düzenli kullanımda cildin yumuşak ve esnek kalmasına yardımcı olur. 💡 Günde bir kez, nemlendirici öncesi birkaç damla uygulayın. Haftada 3-4 kez yeterlidir.",beneficial,"Argan yağı, anti-inflamatuar özellikleri sayesinde hassas ciltte kızarıklık ve tahrişi azaltır. Yüksek E vitamini içeriği ile cildi yatıştırır ve bariyer onarımını destekler. Rozasea ve egzamada faydalıdır. 💡 Yama testi yaparak kullanmaya başlayın. Günde bir kez, temiz cilde hafifçe masaj yaparak uygulayın.",beneficial,"Argan yağı, antioksidan E vitamini ve esansiyel yağ asitleri ile kolajen sentezini destekler, ince çizgileri ve kırışıklıkları azaltır. Cilt elastikiyetini artırır ve hiperpigmentasyonu hafifletir. 💡 Gece rutininde retinol veya peptid serumdan sonra kullanın. Güneş koruyucu ile kombine edin.",beneficial,"Argan yağı, hamilelikte güvenle kullanılabilen doğal bir yağdır. Çatlak önleyici olarak etkilidir, cildi nemlendirir ve esnekliğini artırır. Teratojenik risk taşımaz. 💡 Günde 1-2 kez karın, kalça ve göğüs bölgesine masaj yaparak uygulayın. Saf ve organik formu tercih edin.",-1.0,caution,"Argan yağı komedojenik indeksi düşük olsa da (%0-1), oleik asit içeriği akneye meyilli ciltte gözenek tıkama riskini artırabilir. Özellikle kistik akne ve yoğun komedon varlığında dikkatli kullanılmalıdır. 💡 Sadece kuru bölgelere veya haftada 1-2 kez sınırlı kullanın. Akne aktif bölgelerine uygulamayın."
Argania Spinosa Kernel Oil,arganiaspinosakerneloil,3.0,0.0,1.0,2.0,2.0,3.0,3.0,Dry and dehydrated skin,Oily,top1000,325,Bitkisel Yağ,Bitkisel Yağ,"Argan yağı, yüksek oranda oleik ve linoleik asit ile E vitamini (tokoferol) içeren, besleyici ve nemlendirici bir bitkisel yağdır. Cilt bariyerini güçlendirir, antioksidan özellik gösterir ve yatıştırıcı etkisi vardır.",beneficial,"Argan yağı, yüksek oleik asit içeriği sayesinde kuru ciltte lipid bariyeri onarır ve transepidermal su kaybını azaltır. E vitamini ile antioksidan koruma sağlar, pullanma ve sıkılık hissini giderir. 💡 Günde 1-2 kez temiz cilde birkaç damla uygulayın. Özellikle gece rutininde nemlendirici öncesi kullanın.",neutral,"Argan yağı hafif yapılı olmasına rağmen oleik asit içeriği yağlı ciltte gözenek tıkama potansiyeli taşır. Düşük komedojenik indeksi vardır ancak aşırı yağlı ciltlerde dikkatli kullanılmalıdır. 💡 Haftada 2-3 kez, birkaç damla ile sınırlı kullanın. Yağlı bölgelere doğrudan uygulamaktan kaçının.",beneficial,"Karma ciltte kuru bölgelere nem sağlarken, yağlı T-bölgesinde hafif kalabilir. Dengeli yağ asidi profili sayesinde cildi besler ancak aşırı kullanımda T-bölgesinde komedon oluşumuna yol açabilir. 💡 Sadece kuru bölgelere (yanaklar) uygulayın, T-bölgesinden kaçının. Gece kullanımı idealdir.",beneficial,"Normal ciltte argan yağı, cilt bariyerini destekler ve antioksidan koruma sağlar. Düzenli kullanımda cildin yumuşak ve esnek kalmasına yardımcı olur. 💡 Günde bir kez, nemlendirici öncesi birkaç damla uygulayın. Haftada 3-4 kez yeterlidir.",beneficial,"Argan yağı, anti-inflamatuar özellikleri sayesinde hassas ciltte kızarıklık ve tahrişi azaltır. Yüksek E vitamini içeriği ile cildi yatıştırır ve bariyer onarımını destekler. Rozasea ve egzamada faydalıdır. 💡 Yama testi yaparak kullanmaya başlayın. Günde bir kez, temiz cilde hafifçe masaj yaparak uygulayın.",beneficial,"Argan yağı, antioksidan E vitamini ve esansiyel yağ asitleri ile kolajen sentezini destekler, ince çizgileri ve kırışıklıkları azaltır. Cilt elastikiyetini artırır ve hiperpigmentasyonu hafifletir. 💡 Gece rutininde retinol veya peptid serumdan sonra kullanın. Güneş koruyucu ile kombine edin.",beneficial,"Argan yağı, hamilelikte güvenle kullanılabilen doğal bir yağdır. Çatlak önleyici olarak etkilidir, cildi nemlendirir ve esnekliğini artırır. Teratojenik risk taşımaz. 💡 Günde 1-2 kez karın, kalça ve göğüs bölgesine masaj yaparak uygulayın. Saf ve organik formu tercih edin.",-1.0,caution,"Argan yağı komedojenik indeksi düşük olsa da (%0-1), oleik asit içeriği akneye meyilli ciltte gözenek tıkama riskini artırabilir. Özellikle kistik akne ve yoğun komedon varlığında dikkatli kullanılmalıdır. 💡 Sadece kuru bölgelere veya haftada 1-2 kez sınırlı kullanın. Akne aktif bölgelerine uygulamayın."
Arginine,arginine,2.0,0.0,1.0,1.0,-1.0,2.0,2.0,Dry and dehydrated skin,,top1000,244,Amino Asit / Protein,Amino Asit / Protein,"Arjinin, cildin doğal nemlendirme faktöründe (NMF) bulunan esansiyel bir amino asittir. Kan dolaşımını artırıcı etkisiyle cilt yenilenmesini destekler, nem bağlama kapasitesini yükseltir ve yara iyileşmesini hızlandırır.",beneficial,"Arjinin, nem bağlama özelliği sayesinde kuru ciltte su tutulumunu artırır ve bariyer fonksiyonunu destekler. Ayrıca cilt yüzeyindeki pH'ı dengeleyerek pullanmayı azaltır. 💡 Nemlendirici veya serum formunda günde 1-2 kez kullanın. Hyaluronik asit ile kombine edilebilir.",neutral,"Arjinin, yağlı ciltte doğrudan sebum kontrolü sağlamaz ancak nem dengesini koruyarak cildin aşırı yağ üretimini tetiklemesini engelleyebilir. Komedojenik değildir. 💡 Hafif formüllü ürünlerde kullanın. Yağlı ciltler için ekstra nemlendirme gerektirmez.",beneficial,"Karma ciltte arjinin, kuru bölgelere nem sağlarken yağlı bölgelerde ağırlık yapmaz. Cilt bariyerini güçlendirerek genel dengeyi iyileştirir. 💡 Tüm yüze uygulanabilir. Özellikle kuru yanaklarda etkilidir.",beneficial,"Normal ciltte arjinin, nem seviyesini korur ve cilt bariyerini destekler. Antioksidan etkisiyle çevresel hasara karşı koruma sağlar. 💡 Günlük bakım rutininde serum veya nemlendirici olarak kullanın.",caution,"Arjinin, yüksek konsantrasyonlarda hassas ciltte irritasyona neden olabilir. Özellikle rozasea ve egzamalı ciltlerde kan dolaşımını artırıcı etkisi kızarıklığı tetikleyebilir. 💡 Düşük konsantrasyonlu (%1-2) ürünler tercih edin. Yama testi yapın ve kızarıklık durumunda kullanmayı bırakın.",beneficial,"Arjinin, kolajen sentezini destekleyerek ince çizgileri azaltır ve cilt elastikiyetini artırır. Ayrıca kan dolaşımını iyileştirerek cilde parlaklık kazandırır. 💡 Gece rutininde retinol veya peptid serum ile birlikte kullanın. Güneş koruyucu ihmal etmeyin.",beneficial,"Arjinin, hamilelikte güvenle kullanılabilir. Cilt elastikiyetini artırarak çatlak oluşumunu önlemeye yardımcı olur. Teratojenik risk taşımaz. 💡 Günde bir kez nemlendirici ile birlikte uygulayın. Özellikle karın bölgesine masaj yapın.",0.0,neutral,"Arjinin, akneye meyilli ciltte doğrudan fayda veya zarar sağlamaz. Komedojenik değildir ancak yüksek pH'lı formüllerde cilt bariyerini bozarak akneyi dolaylı yoldan kötüleştirebilir. 💡 pH'ı dengelenmiş ürünlerde kullanın. Salisilik asit veya niasinamid ile kombine edilebilir."
