name,name_normalized,short_description,score_dry,score_oily,score_combination,score_normal,score_sensitive,score_mature,score_pregnancy_safe,good_tags,avoid_tags,source,product_frequency,category,category_tr,description_tr,dry_effect,dry_reason_tr,dry_reason_en,oily_effect,oily_reason_tr,oily_reason_en,combination_effect,combination_reason_tr,combination_reason_en,normal_effect,normal_reason_tr,normal_reason_en,sensitive_effect,sensitive_reason_tr,sensitive_reason_en,mature_effect,mature_reason_tr,mature_reason_en,pregnancy_safe_effect,pregnancy_safe_reason_tr,pregnancy_safe_reason_en
Acetylarginyltryptophyl Diphenylglycine,acetylarginyltryptophyldiphenylglycine,"Acetylarginyltryptophyl Diphenylglycine is a synthetic tetrapeptide used in skincare for its firming abilities. It works by inhibiting the enzyme elastase, which breaks down elastin in the skin (the protein responsible for skin firmness and elasticity). This reduction in elastase allows for higher levels of elastin in the skin, which in turn leads to skin that looks firmer, tighter and restructured.

It is in a class of ingredients also found on ingredients lists as acetyl hexapeptide, acetyl tetrapeptide, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide.",0.0,0.0,0.0,0.0,0.0,5.0,1.0,Elasticity|Fine Lines|Pregnancy|Wrinkles,,original,1,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Achillea millefolium,achilleamillefolium,"Rating: Poor. Categories: Skin-Soothing, Plant Extracts",1.0,0.0,0.0,0.0,-1.0,0.0,0.0,,,noxmoon,6,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Actaea racemosa,actaearacemosa,Rating: Average. Categories: Plant Extracts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Actinidia chinensis (kiwi fruit) extract,actinidiachinensiskiwifruitextract,"Rating: Best. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,13,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Adenosine,adenosine,"Adenosine is a well-researched anti-ageing and soothing ingredient. It is produced naturally in the body, but can also be derived from yeast. It works by stimulating the skin's own collagen production process, to reduce the appearance of wrinkles. It also has anti-inflammatory and barrier repair benefits, so is a fantastic multi-functional skincare ingredient.",3.0,2.0,1.0,0.0,5.0,5.0,1.0,Acne|Dry and dehydrated skin|Elasticity|Fine Lines|Impaired skin barrier|Redness|Pregnancy|Wrinkles,,original,249,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,beneficial,Yağlı cilt için faydalı bileşen,Beneficial for oily skin,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Aerocarpus santalinus,aerocarpussantalinus,"Rating: Poor. Categories: Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",0.0,0.0,0.0,0.0,-2.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Aesculus hippocastanum,aesculushippocastanum,"Rating: Good. Categories: Skin-Soothing, Plant Extracts",1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,noxmoon,1,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Agrimonia eupatoria leaf extract,agrimoniaeupatorialeafextract,"Rating: Average. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Ahnfeltia Concinna Extract,ahnfeltiaconcinnaextract,"Ahnfeltia concinna extract, or red marine algae extract, is an algae which provides skin soothing and antioxidant properties for the skin. Being a polysaccharide, it is also an excellent thickener when used in formulations a has great humectant properties, able to draw and bind water to the areas it is applied.

It is in the class of Algae Extract which also include, alaria esculenta extract, algae exopolysaccharides, algae extract, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.",2.0,0.0,0.0,0.0,1.0,4.0,1.0,Dry and dehydrated skin|Fine Lines|Pregnancy|Wrinkles,,original,10,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Ahnfeltiopsis concinna extract,ahnfeltiopsisconcinnaextract,"Rating: Good. Categories: Emollients, Antioxidants, Plant Extracts, Texture Enhancer",1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,2,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Alanine,alanine,"Amino acids like Alanine are the small building blocks that make up peptides, and proteins.

Alanine is part of a class of Amino Acids. They can also be found on ingredients lists as acetyl glucosamine, acetyl tyrosinamide, arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.
",3.0,0.0,1.0,1.0,1.0,0.0,1.0,Dry and dehydrated skin|Pregnancy|Texture,,original,90,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Alaria Esculenta Extract,alariaesculentaextract,"A type of edible brown algae, harvested from waters bordering Europe and Ireland, and 
rich in amino acids, minerals and antioxidants. When used in skin care, it hydrates, 
soothes, and imparts the appearance and feel of firmness in the skin. The combined 
properties of the ingredient results in plump and hydrated skin, and reduced signs 
of ageing.


It is in the class of Algae Extract which also include ahnfeltia concinna extract, algae exopolysaccharides, algae extract, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.",2.0,0.0,0.0,0.0,1.0,4.0,1.0,Dry and dehydrated skin|Fine Lines|Pregnancy|Wrinkles,,original,9,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Alaria esculenta,alariaesculenta,"Rating: Good. Categories: Antioxidants, Emollients, Plant Extracts, Texture Enhancer",1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Aleurites moluccana seed oil,aleuritesmoluccanaseedoil,"Rating: Best. Categories: Plant Extracts, Antioxidants",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,20,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Algae Exopolysaccharides,algaeexopolysaccharides,"Exopolysaccharides (EPS) are phytochemicals produced by Algae to protect from external stressors: UV radiation, oxidation (from free radicals) and temperature, so these provide skin-protecting benefits in skincare. Being a polysaccharide, this also offers humectant qualities, meaning it can draw water to it, plumping & hydrating the area it is applied to.


It is in the class of Algae Extract which also include ahnfeltia concinna extract, alaria esculenta extract, algae extract, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.",2.0,0.0,0.0,0.0,1.0,4.0,1.0,Dry and dehydrated skin|Fine Lines|Pregnancy|Wrinkles,,original,25,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Algae Extract,algaeextract,"It is essentially an underwater plant, designed to get its food from sunlight, much like any other plants, although from much more challenging conditions. In all its forms it acts as a powerful antioxidant, protecting from free radical damage, as well as being able to hydrate the skin and deliver naturally-occurring vitamins into the skin.

Algaes are a class of ingredients, many of which can be used in skincare. Variants of algae used in skincare are ahnfeltia concinna extract, alaria esculenta extract, algae exopolysaccharides, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella protothecoides oil (oleic acid), chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolysed algin, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, laminaria ochroleuca extract. macrocystis pyrifera (kelp) extract, and marine extract",2.0,0.0,0.0,0.0,1.0,4.0,1.0,Dry and dehydrated skin|Fine Lines|Pregnancy|Wrinkles,,original,376,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Algin,algin,"Algin, also known as sodium alginate, is a large sugar molecule/polysaccharide that is used as a gelling agent in cosmetics, and is derived from brown seaweed. It is used in cosmetics for its hydrating and soothing properties, and in formulations as a binding and thickening agent.


It is in the class of Algae Extract which also include ahnfeltia concinna extract, alaria esculenta extract, algae exopolysaccharides, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.",2.0,0.0,0.0,0.0,1.0,4.0,1.0,Dry and dehydrated skin|Fine Lines|Pregnancy|Wrinkles,,original,82,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Allantoin,allantoin,"Allantoin occurs naturally in the body, but can also be derived from the root of the Comfrey plant or Chamomile, or produced synthetically. It is used in skincare for its ability to promote wound healing and healthy tissue growth, helping in the production of collagen and elastin fibres. Allantoin has also been shown to have soothing and anti-irritant properties, which is thought to be down to its ability to form complexes with irritating agents, thus preventing them from activating inflammatory mechanisms within the skin.",1.0,0.0,0.0,0.0,4.0,2.0,1.0,Fine Lines|Impaired skin barrier|Redness|Pregnancy,,original,611,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Aloe Vera,aloevera,"Aloe vera, also appear on ingredients lists as aloe barbadensis (aloe vera) leaf juice, contains around 75 active constituents, including Vitamins A,C & E to provide antioxidant protection, 8 enzymes to inhibit inflammatory processes in the body and 9 different minerals to support the body’s natural functioning. It also includes sugars to provide hydrating humectant properties, fatty acids to provide anti-inflammatory & antiseptic properties, and hormones to promote wound healing.",5.0,0.0,1.0,2.0,3.0,1.0,1.0,Dry and dehydrated skin|Impaired skin barrier|Radiance|Pregnancy|Texture,,original,5,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,beneficial,Genel cilt sağlığını destekler,Supports overall skin health,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Aloe barbadensis,aloebarbadensis,"Rating: Good. Categories: Skin-Soothing, Plant Extracts",1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,noxmoon,14,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Alpha-Glucan Oligosaccharide,alphaglucanoligosaccharide,"Alpha-glucan oligosaccharide is in a class of prebiotic ingredients also found on ingredients lists as Fructooligosaccharides, lactobacillus extract filtrate, rhamnose and saccharomyces cerevisiae (yeast) extract. 

Prebiotics are a class of ingredients which can be found on ingredients lists as fructooligosaccharides, lactobacillus extract filtrate, rhamnose and saccharomyces cerevisiae (yeast) extract.",0.0,4.0,2.0,0.0,2.0,0.0,1.0,Acne|Blackheads|Redness|Pregnancy,,original,40,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,beneficial,Yağlı cilt için faydalı bileşen,Beneficial for oily skin,beneficial,Karma cilt için faydalı bileşen,Beneficial for combination skin,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Alteromonas Ferment Extract,alteromonasfermentextract,"Alteromonas Ferment Extract is a polysaccharide excreted by the gram-negative bacteria, Alteromonas macleodii which grows in deep sea waters. Due to its polysaccharide (carbohydrate) structure, it acts as a humectant, drawing water molecules towards it to plump and hydrate the applied area. Studies have also shown this ingredient to have soothing properties against chemical & mechanical irritants, so is a great active for calming symptoms of sensitive skin.

It is in the class of Algae Extract which also include ahnfeltia concinna extract, alaria esculenta extract, algae exopolysaccharides, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.",2.0,0.0,0.0,0.0,1.0,4.0,1.0,Dry and dehydrated skin|Fine Lines|Pregnancy|Wrinkles,,original,18,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Althaea rosea,althaearosea,"Rating: Good. Categories: Skin-Soothing, Texture Enhancer, Plant Extracts",1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,noxmoon,0,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Althea officinalis,altheaofficinalis,"Rating: Best. Categories: Skin-Soothing, Plant Extracts",1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,noxmoon,0,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
Aluminum hydroxide,aluminumhydroxide,"Rating: Good. Categories: Texture Enhancer, Absorbent",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,117,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Amino Acids,aminoacids,"Amino Acids are the small building blocks that make up peptides, and proteins. Each amino acid has a unique structure, and as such plays a specific role within the body. There are around 20 different types considered to be most important for human health. 

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine, acetyl tyrosinamide, alanine, arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.
",3.0,0.0,1.0,1.0,1.0,5.0,0.0,Dry and dehydrated skin|Elasticity|Fine Lines|Texture|Wrinkles,,original,0,Skincare Ingredient,Cilt Bakım Bileşeni,Cilt bakım bileşeni,beneficial,Kuru cilt için faydalı bileşen,Beneficial for dry skin,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Yaşlanma karşıtı faydalı bileşen,Beneficial anti-aging ingredient,neutral,,
Anacyclus pyrethrum,anacycluspyrethrum,Rating: Poor. Categories: Plant Extracts,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Anacystis nidulans extract,anacystisnidulansextract,"Rating: Good. Categories: Antioxidants, Plant Extracts, Texture Enhancer, Emollients",1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,noxmoon,0,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Ananas sativus fruit extract,ananassativusfruitextract,"Rating: Good. Categories: Plant Extracts, Exfoliant",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,,neutral,,
Anethum graveolens,anethumgraveolens,"Rating: Average. Categories: Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",0.0,0.0,0.0,0.0,-2.0,0.0,0.0,,,noxmoon,0,Botanical Extract,Bitkisel Ekstrakt,Bitkisel kaynaklı aktif ekstrakt,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Angelica archangelica root oil,angelicaarchangelicarootoil,"Rating: Poor. Categories: Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",0.0,0.0,0.0,1.0,-2.0,0.0,0.0,,,noxmoon,10,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Angelica polymorpha sinensis root extract,angelicapolymorphasinensisrootextract,"Rating: Poor. Categories: Antioxidants, Plant Extracts",0.0,0.0,0.0,1.0,-1.0,0.0,0.0,,,noxmoon,3,Antioxidant,Antioksidan,Serbest radikallere karşı koruyucu antioksidan,neutral,,,neutral,,,neutral,,,neutral,,,caution,"Hassas ciltte tahriş riski taşır, dikkatli kullanılmalı","Risk of irritation, use with caution",neutral,,,neutral,,
Anthemis nobilis flower extract,anthemisnobilisflowerextract,"Rating: Best. Categories: Skin-Soothing, Antioxidants",1.0,0.0,0.0,1.0,2.0,0.0,0.0,,,noxmoon,43,Emollient,Yumuşatıcı (Emoliyan),Cildi yumuşatan ve pürüzsüzleştiren bileşen,neutral,,,neutral,,,neutral,,,neutral,,,beneficial,Hassas cilt için faydalı bileşen,Beneficial for sensitive skin,neutral,,,neutral,,
