name,name_normalized,score_dry,score_oily,score_combination,score_normal,score_sensitive,score_mature,score_pregnancy_safe,good_tags,avoid_tags,source,product_frequency,category,category_tr,description_tr,dry_effect,dry_reason_tr,oily_effect,oily_reason_tr,combination_effect,combination_reason_tr,normal_effect,normal_reason_tr,sensitive_effect,sensitive_reason_tr,mature_effect,mature_reason_tr,pregnancy_safe_effect,pregnancy_safe_reason_tr
Alanine,alanine,1,0,0,0,0,0,0,Dry and dehydrated skin,,top1000,47,Skincare Ingredient,Amino Asit / Protein,"alanine, cildin yapısal proteinlerini ve doğal nem faktörünü destekleyen amino asit veya protein bileşeni; nem tutmaya ve bariyer fonksiyonuna katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Alcohol,alcohol,0,0,0,0,0,0,0,,,top1000,612,Skincare Ingredient,Cilt Bakım Bileşeni,"alcohol, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Alcohol Denat,alcoholdenat,-2,0,-1,0,-2,-1,0,,Sensitive|Dry Dehydrated|Impaired skin barrier,manual_v2,243,Surfactant,Denatüre Alkol,"Çözücü ve penetrasyon artırıcı olarak kullanılan denatüre etil alkol; formülasyona hafif ve çabuk kuruyan doku kazandırır ancak cildin doğal lipid bariyerini bozarak kuruluk, tahriş ve hassasiyete yol açabilir.",caution,"Kurutucu etki yapabilir, nemlendiriciyle birlikte kullanılmalı",neutral,,caution,Karma ciltte dengesizlik yaratabilir,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",caution,Olgun ciltte tahriş yapabilir,neutral,
Algin,algin,0,0,0,0,0,0,0,,,top1000,35,Skincare Ingredient,Cilt Bakım Bileşeni,"algin, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Allantoin,allantoin,2,0,1,1,2,1,0,Redness|Impaired skin barrier|Dry and dehydrated skin|Anyone,,manual_v2,631,Humectant,Yatıştırıcı / Nemlendirici,"Güçlü yatıştırıcı ve hücre yenileyici bileşen; cildi nemlendirir, tahriş olmuş dokuyu sakinleştirir, ölü deri hücrelerinin dökülmesini kolaylaştırır ve yara iyileşmesini destekler.",beneficial,"Güçlü yatıştırıcı ve hücre yenileyici bileşen; cildi nemlendirir, tahriş olmuş dokuyu sakinleştirir, ölü deri hücrelerin",neutral,,neutral,,neutral,,beneficial,"Güçlü yatıştırıcı ve hücre yenileyici bileşen; cildi nemlendirir, tahriş olmuş dokuyu sakinleştirir, ölü deri hücrelerin",neutral,,neutral,
Aloe Barbadensis Extract,aloebarbadensisextract,1,0,0,0,0,0,0,,,top1000,27,Botanical Extract,Bitkisel Ekstrakt,"aloe barbadensis extract, bitkisel kaynaklı aktif ekstrakt; antioksidan, yatıştırıcı veya besleyici özellikler taşıyabilir ve formülasyona doğal etkinlik katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aloe Barbadensis Leaf Extract,aloebarbadensisleafextract,1,0,0,0,0,0,0,,,top1000,230,Botanical Extract,Bitkisel Ekstrakt,"aloe barbadensis leaf extract, bitkisel kaynaklı aktif ekstrakt; antioksidan, yatıştırıcı veya besleyici özellikler taşıyabilir ve formülasyona doğal etkinlik katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aloe Barbadensis Leaf Juice,aloebarbadensisleafjuice,1,0,0,0,0,0,0,,,top1000,632,Botanical Extract,Bitkisel Ekstrakt,"aloe barbadensis leaf juice, bitkisel kaynaklı aktif ekstrakt; antioksidan, yatıştırıcı veya besleyici özellikler taşıyabilir ve formülasyona doğal etkinlik katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aloe Barbadensis Leaf Juice Powder,aloebarbadensisleafjuicepowder,1,0,0,0,0,0,0,,,top1000,238,Botanical Extract,Bitkisel Ekstrakt,"aloe barbadensis leaf juice powder, bitkisel kaynaklı aktif ekstrakt; antioksidan, yatıştırıcı veya besleyici özellikler taşıyabilir ve formülasyona doğal etkinlik katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aloe Barbadensis Leaf Polysaccharides,aloebarbadensisleafpolysaccharides,2,0,0,0,2,0,0,Dry and dehydrated skin|Redness|Impaired skin barrier,,manual_v2,0,Botanical Extract,Aloe Vera Polisakkaritleri,"Aloe vera yaprağından izole edilen konsantre polisakkaritler; yoğun nemlendirme ve yatıştırma sağlar, cilt bariyerini destekler ve iltihaplanmayı azaltır.",beneficial,"Aloe vera yaprağından izole edilen konsantre polisakkaritler; yoğun nemlendirme ve yatıştırma sağlar, cilt bariyerini de",neutral,,neutral,,neutral,,beneficial,"Aloe vera yaprağından izole edilen konsantre polisakkaritler; yoğun nemlendirme ve yatıştırma sağlar, cilt bariyerini de",neutral,,neutral,
Aloe Barbadensis Leaf Powder,aloebarbadensisleafpowder,2,0,0,0,1,0,0,Dry and dehydrated skin|Redness,,manual_v2,0,Botanical Extract,Aloe Vera Pudrası,"Aloe vera yaprağının kurutulmuş ve öğütülmüş formu; konsantre polisakkarit içeriğiyle yoğun nemlendirme ve yatıştırma sağlar, suyla aktive olarak cildi nemlendirir.",beneficial,Aloe vera yaprağının kurutulmuş ve öğütülmüş formu; konsantre polisakkarit içeriğiyle yoğun nemlendirme ve yatıştırma sa,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aloe Barbadensis Leaf Water,aloebarbadensisleafwater,1,0,0,0,1,0,0,Redness|Anyone,,manual_v2,0,Botanical Extract,Aloe Vera Suyu,"Aloe vera yaprağından elde edilen distile su; hafif nemlendirici ve yatıştırıcı özellikler taşır, formülasyona tazeleyici etki katar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aloe Ferox Leaf Extract,aloeferoxleafextract,2,0,0,0,2,0,0,Dry and dehydrated skin|Redness|Impaired skin barrier,,manual_v2,0,Botanical Extract,Bitkisel Ekstrakt (Cape Aloe),"Güney Afrika'ya özgü yabani aloe türünden elde edilen ekstrakt; klasik aloe vera'ya göre daha yüksek aktif bileşen konsantrasyonu taşır, güçlü yatıştırıcı, nemlendirici ve yara iyileştirici özellikler gösterir.",beneficial,Güney Afrika'ya özgü yabani aloe türünden elde edilen ekstrakt; klasik aloe vera'ya göre daha yüksek aktif bileşen konsa,neutral,,neutral,,neutral,,beneficial,Güney Afrika'ya özgü yabani aloe türünden elde edilen ekstrakt; klasik aloe vera'ya göre daha yüksek aktif bileşen konsa,neutral,,neutral,
Aloe Vera Extract,aloeveraextract,2,0,1,1,2,0,0,Dry and dehydrated skin|Redness|Impaired skin barrier|Anyone,,manual_v2,0,Botanical Extract,Bitkisel Ekstrakt (Aloe Vera),"Aloe vera bitkisinin jel ekstresi; zengin polisakkarit içeriğiyle cildi yoğun nemlendirir, güneş yanığını yatıştırır, iltihaplanmayı azaltır ve yara iyileşmesini destekler.",beneficial,"Aloe vera bitkisinin jel ekstresi; zengin polisakkarit içeriğiyle cildi yoğun nemlendirir, güneş yanığını yatıştırır, il",neutral,,neutral,,neutral,,beneficial,"Aloe vera bitkisinin jel ekstresi; zengin polisakkarit içeriğiyle cildi yoğun nemlendirir, güneş yanığını yatıştırır, il",neutral,,neutral,
Alpha Arbutin,alphaarbutin,0,0,0,1,1,1,0,Pigmentation|Radiance|Anyone,,manual_v2,0,Skincare Ingredient,Aydınlatıcı,"Ayı üzümünden elde edilen doğal aydınlatıcı; hidrokinonun güvenli alternatifi olarak tirozinaz enzimini inhibe eder, leke ve ton eşitsizliğini azaltır, hassas ciltler dahil güvenle kullanılır.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Alpha-Glucan Oligosaccharide,alphaglucanoligosaccharide,2,0,0,0,0,0,0,Dry and dehydrated skin,,top1000,33,Humectant,Nemlendirici,"alpha-glucan oligosaccharide, nemlendirici özellikli bileşen; ciltte nem tutarak hidrasyonu artırır ve kuruluğa bağlı gerginlik hissini azaltır.",beneficial,"alpha-glucan oligosaccharide, nemlendirici özellikli bileşen; ciltte nem tutarak hidrasyonu artırır ve kuruluğa bağlı ge",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Alpha-Isomethyl Ionone,alphaisomethylionone,0,0,0,0,-1,0,0,,Sensitive,top1000,988,Fragrance Allergen,Koku Alerjeni,"alpha-isomethyl ionone, kozmetik ürünlerde koku bileşeni olarak kullanılan ve AB mevzuatına göre etiketlenmesi zorunlu olan potansiyel alerjen; hassas ciltlerde alerjik reaksiyon, kızarıklık veya kontakt dermatit riski taşır.",neutral,,neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",neutral,,neutral,
Alpha-Isomethyl Lonone,alphaisomethyllonone,0,0,0,0,0,0,0,,,top1000,125,Skincare Ingredient,Cilt Bakım Bileşeni,"alpha-isomethyl lonone, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Alumina,alumina,0,0,0,0,0,0,0,,,top1000,183,Skincare Ingredient,Cilt Bakım Bileşeni,"alumina, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aluminium Chlorohydrate,aluminiumchlorohydrate,0,0,0,0,0,0,0,,,top1000,37,Skincare Ingredient,Cilt Bakım Bileşeni,"aluminium chlorohydrate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aluminum Chlorohydrate,aluminumchlorohydrate,0,0,0,0,0,0,0,,,top1000,271,Skincare Ingredient,Cilt Bakım Bileşeni,"aluminum chlorohydrate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aluminum Hydroxide,aluminumhydroxide,0,0,0,0,0,0,0,,,top1000,178,Skincare Ingredient,Cilt Bakım Bileşeni,"aluminum hydroxide, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aluminum Sesquichlorohydrate,aluminumsesquichlorohydrate,0,0,0,0,0,0,0,,,top1000,55,Skincare Ingredient,Cilt Bakım Bileşeni,"aluminum sesquichlorohydrate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aluminum Starch Octenylsuccinate,aluminumstarchoctenylsuccinate,0,2,1,0,0,0,0,Oily|Texture,,manual_v2,0,Skincare Ingredient,Yağ Emici / Doku Düzenleyici,"Modifiye alüminyum nişasta; ciltte fazla yağı emerek mat bir görünüm sağlar, formülasyona ipeksi ve pudra benzeri bir doku kazandırır.",neutral,,beneficial,"Modifiye alüminyum nişasta; ciltte fazla yağı emerek mat bir görünüm sağlar, formülasyona ipeksi ve pudra benzeri bir do",neutral,,neutral,,neutral,,neutral,,neutral,
Aluminum Zirconium Tetrachlorohydrex Gly,aluminumzirconiumtetrachlorohydrexgly,0,0,0,0,0,0,0,,,top1000,29,Skincare Ingredient,Cilt Bakım Bileşeni,"aluminum zirconium tetrachlorohydrex gly, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Aminomethyl Propanol,aminomethylpropanol,0,0,0,0,0,0,0,,,top1000,129,Skincare Ingredient,pH Düzenleyici,"aminomethyl propanol, formülasyonun pH değerini ayarlayarak aktif bileşenlerin optimum etkinliğini ve ürünün cilt uyumluluğunu sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ammonium Acryloyldimethyltaurate/VP Copolymer,ammoniumacryloyldimethyltauratevpcopolymer,0,0,0,0,0,0,0,,,manual_v2,0,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"Sentetik akrilik kopolimer; formülasyona pürüzsüz jel kıvamı kazandırır, emülsiyon stabilitesini sağlar ve ürünün ciltte eşit dağılmasına yardımcı olur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ammonium Chloride,ammoniumchloride,0,0,0,0,0,0,0,,,top1000,47,Skincare Ingredient,Cilt Bakım Bileşeni,"ammonium chloride, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ammonium Hydroxide,ammoniumhydroxide,0,0,0,0,0,0,0,,,top1000,80,Skincare Ingredient,Cilt Bakım Bileşeni,"ammonium hydroxide, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ammonium Lauryl Sulfate,ammoniumlaurylsulfate,-2,1,0,0,-2,-1,0,,Sensitive|Dry Dehydrated|Impaired skin barrier,top1000,185,Surfactant,Yüzey Aktif Madde (Sert),"ammonium lauryl sulfate, güçlü anyonik temizleyici; etkili köpürme sağlar ancak cildin doğal lipid bariyerini sıyırarak kuruluk ve tahrişe neden olabilir.",caution,"Kurutucu etki yapabilir, nemlendiriciyle birlikte kullanılmalı",neutral,,neutral,,neutral,,caution,"Hassas ciltte tahriş ve kızarıklık yapabilir, dikkatli kullanılmalı",caution,Olgun ciltte tahriş yapabilir,neutral,
Ammonium Polyacryloyldimethyl Taurate,ammoniumpolyacryloyldimethyltaurate,0,0,0,0,0,0,0,,,top1000,41,Skincare Ingredient,Kıvam Artırıcı / Stabilizatör,"ammonium polyacryloyldimethyl taurate, formülasyona kıvam ve stabilite kazandıran polimer; ürünün dokusunu iyileştirir ve bileşenlerin homojen dağılmasını sağlar.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
Ammonium Sulfate,ammoniumsulfate,0,0,0,0,0,0,0,,,top1000,42,Skincare Ingredient,Cilt Bakım Bileşeni,"ammonium sulfate, kozmetik formülasyonlarda kullanılan yardımcı bileşen; ürünün doku, stabilite veya uygulama özelliklerine katkıda bulunur.",neutral,,neutral,,neutral,,neutral,,neutral,,neutral,,neutral,
